"ACRONIMO";"Columna1";"Observaciones";
"CI";"Contra Inteligencia";"Denominación Internacional";
"CIARM";"Centro de Instrucción de la ARMada";;
"CIDH";"Comision Internacional de Derechos Humanos";;
"CIGEN";;;
"CIM";"Centro de Instrucción de la Marina";;
"CIMA 1";;;
"CIME";"Cuerpo de Ingenieros de Máquinas y Electricidad";;
"CIPE";"Centro de Instrucción de Paracaidistas del Ejército";;
"CIPEURA";"Circulo de PEriodistas URuguayos Antifascistas";;
"CIPREU";"Comisión Internacional Pro-Retorno del Exilio Uruguayo";;
"CIRC.MARIT.ESTE";;;
"CJA";"Comandante en Jefe de la Armada";;
"CJE";"Comandante en Jefe del Ejército";;
"CLUNA";"CLUb NAval";;
"CLUNA";"Club Naval";"Instituciones Sociales";
"CLUSO";"Club de Sub Oficiales navales";;
"CNDH";"Comision Nacional de Derechos Humanos";;
"CNT";"Convención Nacional de Trabajadores";;
"COA";"Centro de Operaciones de la Armada";;
"COBA";"COmité del Boicot Argentina (1978)";;
"COCAL";"Comisión Calificadora de la Armada.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"CODENA";"COnsejo de DEfensa NAcional";;
"COECO";"Control de Derrames de Contaminantes.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"COLCO";"COmando Local de Control Operativo";;
"Com . Invest. Parlam. Sobre Violación a los DD/HH (1985)";;;
"COM INVEST PARLAM";"COMisión INVESTigadora PARLAMentaria";;
"COM. PARLAM. INCAT. De VIOLAR A DDHA(1985)";;;
"Com. PARLAM. Invest. Sobre  DDHA(1985)";;;
"COM.CALIF.";;;
"COMAN";"COMando de la Aviación Naval";;
"COMAPA";"COMisión Ayuda al Personal de la Armada";;
"COMAR";"COMando general de la ARmada";;
"COMES";"Comandante en Escena SAR.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
"COMFLO";"COmando Mayor de la FLOta";;
"COMFLO";"Comandante de la Flota.";;"ARMADA NACIONAL-PREFECTURA NACIONAL NAVAL-PLAN DE COMUNICACIONES-PRENA Nº 1/03-2003"
